id,value
id_0,89.8701594753
id_1,112.063465918
id_2,92.2092959378
id_3,89.8565872078
id_4,38.8999018976
id_5,93.632266043
id_6,109.431584372
id_7,85.6059541091
id_8,93.8310680497
id_9,107.3578616
id_10,106.445614926
id_11,112.063949195
id_12,103.444835885
id_13,92.0537157515
id_14,85.6572126941
id_15,64.0010113429
id_16,112.011754559
id_17,89.7765332225
id_18,2.0262620726
id_19,12.3344018711
id_20,10.6501473943
id_21,109.685452614
id_22,94.1019618295
id_23,31.499967133
id_24,111.445972775
id_25,111.307498112
id_26,83.7336342202
id_27,35.6694727194
id_28,107.191867495
id_29,92.9635155931
id_30,56.4006259665
id_31,54.821467413
id_32,89.8563931275
id_33,18.4497263754
id_34,92.5505687485
id_35,111.151235385
id_36,57.5506964381
id_37,61.768650117
id_38,63.5529553301
id_39,108.805382578
id_40,111.292369487
id_41,50.791707344
id_42,112.045398439
id_43,89.9003510079
id_44,111.102704937
id_45,111.446384163
id_46,111.850262405
id_47,111.249285797
id_48,112.04767401
id_49,109.639908833
id_50,93.6481710966
id_51,92.6099071723
id_52,104.433529165
id_53,93.6256266106
id_54,93.993087596
id_55,108.742510985
id_56,92.1070077436
id_57,93.6241770887
id_58,90.4216989489
id_59,89.9585932264
id_60,2.43537543839
id_61,77.6026356554
id_62,101.7910685
id_63,111.862731366
id_64,107.581459444
id_65,92.410919127
id_66,93.9485522488
id_67,111.114412163
id_68,92.7203805758
id_69,89.4423611365
id_70,112.047365838
id_71,110.777642217
id_72,92.7166048612
id_73,66.8095803121
id_74,84.0022443416
id_75,82.618439395
id_76,112.047675583
id_77,58.0641856803
id_78,90.6824709732
id_79,112.046420089
id_80,2.7839245749
id_81,50.2750129546
id_82,0.0
id_83,106.123565142
id_84,76.9682393254
id_85,70.3490644362
id_86,28.4919128195
id_87,26.2034904977
id_88,107.381387633
id_89,58.8256658121
id_90,108.144912841
id_91,13.4263099222
id_92,88.4533042314
id_93,28.6466019756
id_94,107.932793521
id_95,87.8265663286
id_96,96.9451947194
id_97,48.1013806364
id_98,77.7332560481
id_99,50.3404143385
id_100,83.6998189751
id_101,60.6570643841
id_102,85.0063950161
id_103,19.9872974745
id_104,63.9633632719
id_105,100.569270719
id_106,89.827164015
id_107,76.0714231913
id_108,52.4655841583
id_109,76.2685031499
id_110,92.4582581169
id_111,57.1912887404
id_112,64.0947785593
id_113,82.2430156896
id_114,63.8316693846
id_115,28.6626958665
id_116,58.8555661426
id_117,112.037360034
id_118,66.5735189564
id_119,4.44324269177
id_120,50.2293869931
id_121,52.4655278733
id_122,57.9513430828
id_123,50.2468955419
id_124,81.7071258373
id_125,92.607355381
id_126,85.9841467546
id_127,57.8821171633
id_128,38.1579783117
id_129,13.9282869452
id_130,0.708576393316
id_131,92.4110016603
id_132,76.5466774534
id_133,67.3596596456
id_134,86.0045604983
id_135,58.9132825406
id_136,68.1599113228
id_137,77.6557196458
id_138,112.063949197
id_139,112.057986203
id_140,107.097088531
id_141,23.6571298213
id_142,86.7096014561
id_143,83.7363204094
id_144,81.9122873882
id_145,73.0645668728
id_146,4.00582021388
id_147,60.283747284
id_148,85.8861199492
id_149,103.342123768
id_150,109.729218912
id_151,58.1600638123
id_152,83.7957088099
id_153,29.401329903
id_154,86.0465126142
id_155,85.99367117
id_156,17.8138660504
id_157,108.421317957
id_158,58.498055259
id_159,83.0526973098
id_160,111.242788581
id_161,92.7362257504
id_162,111.921105838
id_163,84.9591698128
id_164,92.9658759567
id_165,89.0223812541
id_166,56.2440735983
id_167,0.0
id_168,112.063949197
id_169,24.0117062515
id_170,83.3909824741
id_171,112.029011889
id_172,49.1318994322
id_173,75.9322825946
id_174,35.7700978832
id_175,0.0
id_176,90.9242940102
id_177,23.9080610262
id_178,24.4064626685
id_179,64.1259331554
id_180,95.2632606568
id_181,91.7565650952
id_182,58.2186795288
id_183,6.03928224432
id_184,41.7248462734
id_185,99.9247721842
id_186,91.7771837164
id_187,107.381805486
id_188,24.7371591487
id_189,76.1612988594
id_190,89.9385827062
id_191,87.3658001222
id_192,93.6478760078
id_193,110.873117287
id_194,103.45971609
id_195,24.7773047969
id_196,112.063949197
id_197,73.3798756234
id_198,79.7195789821
id_199,57.1773815287
id_200,112.063949197
id_201,82.7450048654
id_202,112.063949197
id_203,77.7151947718
id_204,111.860687079
id_205,107.647306946
id_206,78.1123407793
id_207,93.577055587
id_208,112.050870374
id_209,81.6348870479
id_210,104.171618986
id_211,111.853313476
id_212,93.6515967526
id_213,110.443357115
id_214,111.282528134
id_215,110.430582041
id_216,112.063949191
id_217,111.854969513
id_218,107.328556334
id_219,67.1167008399
id_220,93.1660702649
id_221,100.361992212
id_222,83.147273377
id_223,100.0786928
id_224,98.3342480516
id_225,1.68382095349
id_226,76.0958327365
id_227,108.37846668
id_228,90.0782941816
id_229,5.29773462436
id_230,92.4582929769
id_231,26.7850014525
id_232,89.3328933546
id_233,84.9407977798
id_234,92.6433975924
id_235,92.8204640146
id_236,17.6101202124
id_237,1.12984228253
id_238,93.0528325273
id_239,26.624066765
