id,value
id_0,0.0
id_1,1123.73235713
id_2,0.0
id_3,0.0
id_4,0.0
id_5,8.7506548231
id_6,490.298736775
id_7,0.0
id_8,764.469612438
id_9,165.569148426
id_10,292.999189794
id_11,1007.48913878
id_12,187.799684707
id_13,414.819934138
id_14,0.0
id_15,0.0
id_16,756.034548646
id_17,0.0
id_18,0.0
id_19,0.0
id_20,0.0
id_21,212.822199352
id_22,423.725624495
id_23,0.0
id_24,1042.52297759
id_25,599.12265649
id_26,0.0
id_27,0.0
id_28,157.817479608
id_29,270.686877905
id_30,0.0
id_31,0.0
id_32,0.0
id_33,0.0
id_34,0.0
id_35,713.039614327
id_36,0.0
id_37,0.0
id_38,0.0
id_39,1031.96797494
id_40,665.730772587
id_41,3.06332159554
id_42,746.617590563
id_43,0.0
id_44,556.551696428
id_45,733.912224977
id_46,845.630863471
id_47,334.531580794
id_48,912.376061548
id_49,393.032978632
id_50,68.7981147158
id_51,0.0
id_52,380.474582185
id_53,0.0
id_54,306.060397059
id_55,345.471464948
id_56,0.0
id_57,0.0
id_58,244.711236574
id_59,173.277210104
id_60,0.0
id_61,0.0
id_62,119.197967971
id_63,802.667346433
id_64,744.242408069
id_65,0.0
id_66,299.673010078
id_67,690.03479882
id_68,115.673344411
id_69,322.266587202
id_70,1114.62080223
id_71,878.01828036
id_72,378.825041925
id_73,0.0
id_74,0.0
id_75,168.517421093
id_76,1103.49137643
id_77,0.0
id_78,353.544973159
id_79,429.712795169
id_80,0.0
id_81,0.0
id_82,0.0
id_83,191.012023153
id_84,0.0
id_85,0.0
id_86,0.0
id_87,0.0
id_88,0.0
id_89,0.0
id_90,256.770907365
id_91,0.0
id_92,0.0
id_93,0.0
id_94,250.436911967
id_95,0.0
id_96,0.0
id_97,0.0
id_98,0.0
id_99,0.0
id_100,0.0
id_101,0.0
id_102,0.0
id_103,0.0
id_104,0.0
id_105,217.169268154
id_106,0.0
id_107,0.0
id_108,0.0
id_109,0.0
id_110,0.0
id_111,0.0
id_112,0.0
id_113,0.0
id_114,0.0
id_115,0.0
id_116,0.0
id_117,511.705231611
id_118,34.8656700543
id_119,0.0
id_120,0.0
id_121,0.0
id_122,0.0
id_123,0.0
id_124,0.0
id_125,0.0
id_126,0.0
id_127,0.0
id_128,0.0
id_129,0.0
id_130,0.0
id_131,98.2174524338
id_132,0.0
id_133,0.0
id_134,0.0
id_135,0.0
id_136,0.0
id_137,0.0
id_138,1626.61884666
id_139,864.881551285
id_140,38.6494573039
id_141,0.0
id_142,0.0
id_143,0.0
id_144,0.0
id_145,0.0
id_146,0.0
id_147,0.0
id_148,0.0
id_149,0.0
id_150,553.321839184
id_151,0.0
id_152,0.0
id_153,0.0
id_154,0.0
id_155,0.0
id_156,0.0
id_157,319.290978883
id_158,0.0
id_159,0.0
id_160,450.074578563
id_161,0.0
id_162,1187.65878146
id_163,0.0
id_164,101.637291158
id_165,0.0
id_166,0.0
id_167,0.0
id_168,1385.32378927
id_169,0.0
id_170,0.0
id_171,1365.45551983
id_172,0.0
id_173,0.0
id_174,0.0
id_175,0.0
id_176,0.0
id_177,0.0
id_178,0.0
id_179,0.0
id_180,447.522131932
id_181,274.429167988
id_182,0.0
id_183,0.0
id_184,0.0
id_185,447.1869125
id_186,187.441196591
id_187,247.588821844
id_188,0.0
id_189,0.0
id_190,0.0
id_191,0.0
id_192,0.0
id_193,1179.46974033
id_194,96.8675748746
id_195,0.0
id_196,1133.35683747
id_197,0.0
id_198,0.0
id_199,0.0
id_200,3119.38195996
id_201,0.0
id_202,996.837516887
id_203,0.0
id_204,1021.72231558
id_205,363.598037037
id_206,0.0
id_207,0.0
id_208,984.03816381
id_209,0.0
id_210,385.850318741
id_211,1148.16544949
id_212,0.0
id_213,2772.61430744
id_214,467.546848734
id_215,1429.7124116
id_216,2108.35075306
id_217,1364.2186894
id_218,0.0
id_219,0.0
id_220,14.0872387739
id_221,970.320558304
id_222,0.0
id_223,304.976800135
id_224,436.078306267
id_225,0.0
id_226,0.0
id_227,1845.36689697
id_228,182.025596627
id_229,0.0
id_230,364.570461107
id_231,0.0
id_232,0.0
id_233,0.0
id_234,0.0
id_235,115.201479294
id_236,0.0
id_237,0.0
id_238,0.0
id_239,0.0
