id,value
id_0,25.2244318465
id_1,65.6066426164
id_2,17.1370099675
id_3,29.2711584546
id_4,9.77663668258
id_5,32.9672246705
id_6,41.3751133
id_7,17.3248468596
id_8,50.85723582
id_9,32.6931441044
id_10,38.8374923044
id_11,58.5144934518
id_12,34.8222049126
id_13,42.2106948592
id_14,26.0713215378
id_15,13.3298009874
id_16,50.4759051056
id_17,23.2317402932
id_18,17.5571347362
id_19,17.8560693785
id_20,15.6708816735
id_21,29.8643806749
id_22,38.3708848437
id_23,11.7318634038
id_24,61.4336933321
id_25,47.1916462966
id_26,28.2987910707
id_27,6.60007489064
id_28,28.3557353562
id_29,37.1907299617
id_30,18.1290249354
id_31,11.7760848296
id_32,16.3272619209
id_33,8.78283580295
id_34,15.9101252115
id_35,40.0574139519
id_36,20.751374033
id_37,26.8539340396
id_38,9.16973184019
id_39,55.6507351695
id_40,47.6587396224
id_41,18.1927467258
id_42,50.5522784971
id_43,17.9721566881
id_44,44.474958496
id_45,49.5899438066
id_46,57.2738370232
id_47,40.3058076441
id_48,55.824822481
id_49,39.2126755606
id_50,29.8376128366
id_51,23.4246873882
id_52,38.8811666572
id_53,23.0595655323
id_54,37.0461759712
id_55,36.8877830012
id_56,24.408451046
id_57,21.9777275197
id_58,35.8489543216
id_59,30.5651505922
id_60,14.1880068938
id_61,19.9690257114
id_62,30.5519768569
id_63,51.875545622
id_64,51.8058050447
id_65,25.1997021736
id_66,37.3705157145
id_67,52.6688724705
id_68,28.6211060527
id_69,40.4219882228
id_70,64.3437831902
id_71,54.4219987388
id_72,42.0639704324
id_73,14.4074540873
id_74,14.3400264866
id_75,35.857324617
id_76,60.8623112231
id_77,1.86781188607
id_78,41.1724758279
id_79,41.8488297724
id_80,9.13017816687
id_81,23.4413937301
id_82,6.47651027405
id_83,29.4194480547
id_84,8.84824837551
id_85,4.8956330341
id_86,17.2776462875
id_87,11.6333923719
id_88,19.2659058621
id_89,26.6313276792
id_90,33.9193070651
id_91,13.7650758304
id_92,12.2027062119
id_93,9.92911137211
id_94,37.8591663421
id_95,14.8565904914
id_96,17.115339851
id_97,9.50409872668
id_98,11.697156226
id_99,5.33490490132
id_100,9.75052616721
id_101,16.9533798565
id_102,12.0371205214
id_103,8.061386916
id_104,12.4707769108
id_105,36.6118959478
id_106,26.2150104027
id_107,7.39735416452
id_108,17.0965173433
id_109,15.1703305327
id_110,11.8513172557
id_111,16.7623741032
id_112,16.6232845946
id_113,26.3302934147
id_114,18.8243924518
id_115,16.2580357002
id_116,5.81371846293
id_117,44.3875876404
id_118,26.548422127
id_119,1.12512240179
id_120,0.0
id_121,9.18169226565
id_122,11.67496564
id_123,12.8413084389
id_124,8.43126438285
id_125,24.8948238371
id_126,21.6010015394
id_127,9.68099020054
id_128,19.017143444
id_129,14.7583784706
id_130,0.0
id_131,32.7270519446
id_132,13.8683484817
id_133,19.5378772092
id_134,25.6422198103
id_135,24.3128291363
id_136,10.399705692
id_137,20.7740866066
id_138,76.1019366154
id_139,59.9210485235
id_140,25.4123824733
id_141,18.7305419499
id_142,24.453245421
id_143,6.93867241483
id_144,11.1450855059
id_145,10.4079513162
id_146,18.646851986
id_147,7.41470555618
id_148,11.8200284687
id_149,14.6044794782
id_150,47.4416062325
id_151,20.8172054719
id_152,22.4344034591
id_153,14.8815975508
id_154,11.9522990022
id_155,23.1743189704
id_156,26.4332427294
id_157,37.2112023418
id_158,4.02310339988
id_159,23.4861830036
id_160,41.3228017869
id_161,18.9438568834
id_162,61.8844462751
id_163,16.6637644523
id_164,33.4908828706
id_165,24.2664388772
id_166,23.4062316936
id_167,0.864255701882
id_168,63.0322172335
id_169,15.1382689101
id_170,15.3989198739
id_171,66.7979866376
id_172,21.064507764
id_173,1.89563348871
id_174,23.187084543
id_175,0.0
id_176,7.78258132099
id_177,16.9843270202
id_178,20.3822277909
id_179,25.5535765775
id_180,43.7125923607
id_181,31.7423213187
id_182,28.151990248
id_183,13.8554008846
id_184,6.2846398336
id_185,41.9698459864
id_186,36.0289062591
id_187,34.6855352678
id_188,16.8171887673
id_189,24.1080881495
id_190,13.9601241463
id_191,15.9115302411
id_192,29.6647582226
id_193,71.8654499785
id_194,27.1682889322
id_195,11.2222082636
id_196,59.9484330744
id_197,15.7096557334
id_198,19.7335246983
id_199,19.5813483097
id_200,123.85239333
id_201,22.9627876763
id_202,58.0911823179
id_203,6.1886791973
id_204,60.5860903171
id_205,36.6990588371
id_206,14.0775176858
id_207,13.9984405865
id_208,62.0755651338
id_209,14.4308587399
id_210,36.2663548717
id_211,69.7090735209
id_212,18.2683555113
id_213,119.048962814
id_214,40.9984718497
id_215,79.9116274505
id_216,91.4943132351
id_217,73.1831112908
id_218,29.0138911911
id_219,17.1340141301
id_220,30.2010911385
id_221,59.2600502703
id_222,27.8175358045
id_223,37.2253764712
id_224,43.1566775776
id_225,10.8319486793
id_226,3.47069584972
id_227,82.7199087663
id_228,30.4808097106
id_229,0.579551135913
id_230,40.5615387754
id_231,16.1873414346
id_232,22.1191583071
id_233,7.9535347024
id_234,14.5736902196
id_235,26.0678052898
id_236,13.780600455
id_237,2.63186187276
id_238,21.7155235287
id_239,11.8114963807
