id,value
id_0,25.5909520792
id_1,66.2096058684
id_2,17.8169872295
id_3,30.7136530803
id_4,10.0801004099
id_5,33.9996636093
id_6,42.1573706833
id_7,17.7662733586
id_8,52.1206880125
id_9,34.0281072018
id_10,39.8961511675
id_11,58.997327321
id_12,35.8972026271
id_13,42.7011009075
id_14,27.0912474474
id_15,13.0414716472
id_16,51.5859304646
id_17,23.8537428403
id_18,17.6752001835
id_19,18.0664275282
id_20,15.5214432549
id_21,30.4318160463
id_22,38.9254294028
id_23,11.9789960913
id_24,63.3612185732
id_25,47.9004779719
id_26,29.2717158429
id_27,6.61102057165
id_28,29.0158570228
id_29,37.6697053967
id_30,18.7372151143
id_31,12.4016995319
id_32,16.8226285988
id_33,9.83220665208
id_34,16.4532415737
id_35,41.8863302711
id_36,22.8981866905
id_37,27.8974711121
id_38,10.3900533613
id_39,57.5720320965
id_40,48.2184273614
id_41,18.3535378881
id_42,51.4362545147
id_43,18.6593564879
id_44,45.3897485679
id_45,49.8748367621
id_46,58.620130692
id_47,40.7165277886
id_48,56.4037241935
id_49,40.4139356116
id_50,30.2955363725
id_51,23.8979796079
id_52,40.0349945623
id_53,23.387977213
id_54,38.6314813866
id_55,37.8084534063
id_56,25.3532146233
id_57,22.2514640886
id_58,37.4835177852
id_59,31.8827205692
id_60,14.586911932
id_61,20.981818721
id_62,32.1023912341
id_63,53.3280716728
id_64,51.6123061075
id_65,26.6767629835
id_66,38.8677206375
id_67,53.2173860081
id_68,28.9573837606
id_69,40.779524382
id_70,64.663232336
id_71,56.0411059711
id_72,43.9225482088
id_73,14.953274039
id_74,14.781933186
id_75,37.1715022522
id_76,62.2111352992
id_77,1.64074531381
id_78,41.9981395085
id_79,42.5539697232
id_80,9.59712373242
id_81,24.2744233181
id_82,6.60044658718
id_83,31.0534635288
id_84,9.42047369897
id_85,5.56056415016
id_86,17.965805846
id_87,12.3395024593
id_88,18.5685434221
id_89,26.8539375605
id_90,35.1841831281
id_91,14.3488367276
id_92,12.8156618787
id_93,10.3728207048
id_94,39.1648964763
id_95,15.5242656696
id_96,17.6590100988
id_97,10.0191802728
id_98,12.7084992645
id_99,5.8215937976
id_100,10.2115283666
id_101,18.2032226091
id_102,13.1007538403
id_103,8.99932874871
id_104,13.2434244144
id_105,37.256356848
id_106,26.7443483612
id_107,8.25121078373
id_108,17.0592293248
id_109,15.7157362686
id_110,12.3938468001
id_111,17.0928210935
id_112,16.8049190881
id_113,26.8089788621
id_114,19.2348676199
id_115,16.9702811695
id_116,6.70607342582
id_117,45.0061684703
id_118,28.4427153847
id_119,1.68933134731
id_120,0.0
id_121,9.5453144721
id_122,12.9864129511
id_123,13.5612393609
id_124,8.84211173213
id_125,25.3679231197
id_126,22.8351136907
id_127,10.5320256668
id_128,19.8396802772
id_129,15.0583457874
id_130,0.181444314883
id_131,33.520722748
id_132,14.9187816206
id_133,21.0788128675
id_134,26.9846696031
id_135,24.305163659
id_136,11.1088331849
id_137,21.5031988719
id_138,77.9261407531
id_139,61.3410820539
id_140,26.3010514264
id_141,19.0839359776
id_142,25.2574616949
id_143,7.83609514069
id_144,12.2045266987
id_145,10.5575494377
id_146,19.9646582819
id_147,8.25504378965
id_148,12.8291486887
id_149,16.3992633977
id_150,48.5039301876
id_151,22.6437373899
id_152,23.2560869074
id_153,15.2701301623
id_154,13.327726484
id_155,24.5916690551
id_156,26.2661276806
id_157,37.3002163759
id_158,4.47092390641
id_159,24.1031526139
id_160,42.985682441
id_161,19.35996763
id_162,62.6706086585
id_163,17.4762413545
id_164,34.1346294013
id_165,25.1115149125
id_166,25.1567888491
id_167,1.95389489039
id_168,66.42901503
id_169,16.4477222158
id_170,16.1446530707
id_171,68.21206466
id_172,22.1603734128
id_173,2.31000426194
id_174,25.4216962899
id_175,0.980419537127
id_176,8.57387308285
id_177,18.5103854223
id_178,21.3265049161
id_179,26.1581596071
id_180,44.3479185521
id_181,32.1461478887
id_182,29.4405891481
id_183,13.9753250707
id_184,7.08970872637
id_185,42.2306469981
id_186,36.948435727
id_187,35.3532538854
id_188,17.5389266715
id_189,23.8333875446
id_190,14.1370342415
id_191,16.6522197245
id_192,31.1395785021
id_193,73.2947806715
id_194,28.6897649364
id_195,12.237210729
id_196,62.6778706258
id_197,16.0169373453
id_198,20.7494782344
id_199,21.4893588777
id_200,127.299662947
id_201,23.6937996799
id_202,58.7222410095
id_203,7.02472883974
id_204,62.1565108425
id_205,37.7869231804
id_206,14.6602856507
id_207,13.8541166747
id_208,63.4530800624
id_209,14.6626439773
id_210,36.7607135998
id_211,70.7936859422
id_212,18.2129007091
id_213,119.617311801
id_214,42.1983510273
id_215,81.3666387163
id_216,93.2182469451
id_217,74.0208981085
id_218,30.4429086669
id_219,18.3407476833
id_220,30.9394390987
id_221,60.3990297885
id_222,27.7635484739
id_223,38.0099631183
id_224,44.114724701
id_225,11.3164856875
id_226,4.92802431006
id_227,84.7652479561
id_228,32.0693756952
id_229,1.31471842823
id_230,41.6379818891
id_231,16.514444372
id_232,22.427117954
id_233,8.98402750942
id_234,15.4027686133
id_235,27.2071297438
id_236,14.5234992132
id_237,3.47616024832
id_238,22.2456663311
id_239,12.2295359878
