id,value
id_0,25.287340688
id_1,66.4596382941
id_2,18.3477631938
id_3,29.9932171173
id_4,10.0099438874
id_5,33.6448416958
id_6,41.799289297
id_7,17.7335959952
id_8,51.9628344175
id_9,32.6752680212
id_10,39.4658783303
id_11,59.0838203506
id_12,36.0486753202
id_13,41.8331882162
id_14,27.3521957472
id_15,13.5357506713
id_16,52.0888083901
id_17,23.270590792
id_18,17.4766647449
id_19,17.9982177137
id_20,16.1202961046
id_21,29.8894110255
id_22,39.9744086216
id_23,12.2436913577
id_24,63.0214124709
id_25,47.0358654097
id_26,28.6179669849
id_27,6.71993510897
id_28,29.2305551127
id_29,37.4548515143
id_30,17.8924413714
id_31,11.9706442041
id_32,16.6870163138
id_33,8.53001302414
id_34,16.2773786258
id_35,41.2330816551
id_36,22.823977475
id_37,27.5878034476
id_38,9.22890205531
id_39,57.1235339712
id_40,48.1604488297
id_41,19.10895593
id_42,51.0434636134
id_43,18.2788705718
id_44,44.663541318
id_45,50.0845069915
id_46,58.2120163271
id_47,41.0851941533
id_48,55.5545679544
id_49,40.6503346833
id_50,30.6140436129
id_51,23.3278193652
id_52,40.5994521131
id_53,23.5976151168
id_54,38.2008635127
id_55,37.6524113126
id_56,25.2132506646
id_57,22.5365591443
id_58,36.682638533
id_59,31.9937821227
id_60,14.3464748359
id_61,22.6985790896
id_62,32.2385196921
id_63,52.1616176657
id_64,51.8944164063
id_65,26.4868649765
id_66,37.9076925212
id_67,53.3224285321
id_68,28.3957685175
id_69,40.9659733527
id_70,64.9849195074
id_71,55.4924591625
id_72,42.9724390309
id_73,15.3076955017
id_74,14.3301351583
id_75,36.2465782816
id_76,62.2348631933
id_77,2.37529935449
id_78,41.2128585604
id_79,42.3236586449
id_80,9.2788201507
id_81,24.0831425971
id_82,6.7077671163
id_83,31.2798640341
id_84,10.2360327163
id_85,5.98746374083
id_86,18.0393706572
id_87,12.3756310091
id_88,18.9882976953
id_89,27.2278452315
id_90,34.4816909939
id_91,14.1237294309
id_92,12.7776739329
id_93,11.0135149714
id_94,37.6816082457
id_95,15.4934689662
id_96,18.002553439
id_97,9.83366210173
id_98,12.3082830328
id_99,6.3049410424
id_100,9.90429287056
id_101,17.5935240031
id_102,12.212896523
id_103,8.37743910887
id_104,12.4675955598
id_105,36.833676257
id_106,26.3142390205
id_107,8.01189540533
id_108,17.8217963057
id_109,15.6685356429
id_110,11.781383226
id_111,17.2007150541
id_112,16.640928061
id_113,26.978988348
id_114,19.5753464604
id_115,17.0149885245
id_116,6.6867390835
id_117,44.9667337621
id_118,27.8136846371
id_119,1.53456265218
id_120,0.0
id_121,10.1629739344
id_122,12.4960187006
id_123,13.2374134025
id_124,8.52301146354
id_125,25.2449750766
id_126,23.2924542157
id_127,10.0932247499
id_128,19.4496665123
id_129,14.7332646577
id_130,0.568119577604
id_131,33.1678024033
id_132,14.3867079347
id_133,20.3696460129
id_134,26.60811368
id_135,24.347409239
id_136,10.9689168666
id_137,21.5462969705
id_138,77.0503653808
id_139,61.3226735521
id_140,26.0247456493
id_141,18.9548146883
id_142,24.8033748254
id_143,7.43481983415
id_144,12.1308832737
id_145,10.8415250329
id_146,19.0567332288
id_147,8.27664152058
id_148,12.5464668759
id_149,15.3089096701
id_150,48.4269912468
id_151,21.9391037102
id_152,22.6803126287
id_153,15.0011924761
id_154,13.4177052915
id_155,24.6714067603
id_156,26.481229664
id_157,37.4542932571
id_158,4.68223731577
id_159,24.3998749554
id_160,42.9231448615
id_161,19.1898013062
id_162,62.376217863
id_163,16.9877916628
id_164,33.899662518
id_165,24.8844307352
id_166,24.294009033
id_167,1.29584720154
id_168,65.9172308733
id_169,16.3590051464
id_170,15.9823157464
id_171,68.1507771038
id_172,21.4928321928
id_173,1.80026658712
id_174,24.4194307559
id_175,0.593967888029
id_176,8.11943677811
id_177,18.0079542109
id_178,20.6054299137
id_179,26.0463971219
id_180,43.9771142229
id_181,31.9524512154
id_182,28.9465787247
id_183,14.0861452432
id_184,6.36798138717
id_185,41.9836246336
id_186,36.2115983635
id_187,35.0139023626
id_188,17.2372803139
id_189,25.4815263378
id_190,14.1163235191
id_191,15.9791163868
id_192,30.5535719826
id_193,72.5834281561
id_194,29.8360709974
id_195,11.9662688729
id_196,62.2900992203
id_197,15.786905963
id_198,20.8344431885
id_199,20.8159434436
id_200,125.868967969
id_201,23.8310181499
id_202,58.3181799498
id_203,6.48613769078
id_204,61.7461051427
id_205,37.2500562279
id_206,13.9705967807
id_207,13.4389329581
id_208,62.4076769372
id_209,15.1175014117
id_210,36.8260700991
id_211,70.7148037999
id_212,18.5260248497
id_213,119.540781934
id_214,41.2701244
id_215,81.0837161428
id_216,92.1889531039
id_217,74.3352802012
id_218,29.5833935388
id_219,18.4660503041
id_220,30.926530272
id_221,61.1404869496
id_222,28.4967528813
id_223,38.5956838616
id_224,43.5491105892
id_225,10.1330052005
id_226,4.3897934075
id_227,82.1858749591
id_228,31.3285382269
id_229,1.713309982
id_230,42.100713448
id_231,15.8054504017
id_232,22.4205931078
id_233,8.71697350835
id_234,14.8644301531
id_235,27.8734703571
id_236,14.2716353546
id_237,3.0711663968
id_238,22.3307325567
id_239,12.316500394
