id,value
id_0,25.6746241387
id_1,66.2184788604
id_2,17.460134723
id_3,29.6799056641
id_4,8.95215828196
id_5,33.0486670443
id_6,41.2573415691
id_7,17.2832008912
id_8,51.6113257096
id_9,32.9762996078
id_10,38.5378899363
id_11,58.5542223709
id_12,35.888378633
id_13,41.279316432
id_14,27.1947988533
id_15,13.062505502
id_16,51.2415676432
id_17,23.5622084197
id_18,16.3831922984
id_19,17.3813307215
id_20,14.6622126139
id_21,30.0052122134
id_22,38.4958212299
id_23,11.0693516422
id_24,61.7302628527
id_25,46.2768753994
id_26,26.7009874966
id_27,6.78724400799
id_28,28.1655474908
id_29,36.2505627261
id_30,18.0437077879
id_31,11.5005523743
id_32,15.9328774818
id_33,9.24342604838
id_34,15.7698958713
id_35,42.1533288245
id_36,21.5338515576
id_37,25.7907859113
id_38,9.54485678056
id_39,56.5895867627
id_40,46.3005652587
id_41,17.73728551
id_42,50.6609449682
id_43,18.2228788165
id_44,43.4744550532
id_45,49.7020241909
id_46,57.7861189616
id_47,39.965462096
id_48,54.8436461864
id_49,39.556517466
id_50,29.5188238632
id_51,22.6067296918
id_52,39.6809799957
id_53,22.9123389691
id_54,36.7724631884
id_55,36.9981164841
id_56,24.2685991505
id_57,21.0944673352
id_58,35.9577593185
id_59,31.5567172265
id_60,12.9237704388
id_61,21.3232140624
id_62,30.8488707132
id_63,50.5196021016
id_64,50.9048403219
id_65,24.9857280351
id_66,36.0369930668
id_67,51.7381567768
id_68,27.8781484441
id_69,39.3221819113
id_70,63.0768900517
id_71,54.2456200974
id_72,42.2700807625
id_73,13.2007641985
id_74,13.6490789454
id_75,35.8070273775
id_76,60.1540319305
id_77,0.341680278376
id_78,41.2770338623
id_79,41.9360852007
id_80,8.20189695753
id_81,22.8977890487
id_82,4.96318027457
id_83,30.5798688241
id_84,9.32057664437
id_85,4.56736689752
id_86,16.7878094916
id_87,11.3788377654
id_88,17.9946495284
id_89,24.0940690334
id_90,33.0154517002
id_91,12.6564927471
id_92,11.4380541385
id_93,10.3976980407
id_94,36.8916416666
id_95,14.3747541368
id_96,16.8154682456
id_97,9.12619549022
id_98,11.2176615738
id_99,5.10397170935
id_100,9.44729884039
id_101,17.3771480654
id_102,11.19187387
id_103,7.86098148074
id_104,12.1588122744
id_105,36.0736747176
id_106,24.5792171143
id_107,7.34395896392
id_108,16.716512131
id_109,14.6422163655
id_110,11.246450359
id_111,15.1276133072
id_112,16.3286400588
id_113,25.106897845
id_114,18.8003262307
id_115,15.6708548716
id_116,6.42886903098
id_117,43.7728048936
id_118,26.602226747
id_119,0.740109817628
id_120,0.0
id_121,9.1556610219
id_122,11.6472325829
id_123,11.4922963369
id_124,7.65319299681
id_125,24.5339167561
id_126,22.3539777295
id_127,8.99758248948
id_128,18.0942535532
id_129,13.5857984611
id_130,0.0
id_131,32.2339229479
id_132,14.561734722
id_133,19.8661092382
id_134,25.6982502401
id_135,23.7595099467
id_136,9.94353248853
id_137,20.2611586809
id_138,78.0035041582
id_139,62.0562261193
id_140,25.3428514588
id_141,18.1049421426
id_142,23.5666260864
id_143,6.67640881442
id_144,11.5113370972
id_145,9.61930459842
id_146,17.6490522909
id_147,7.02525662123
id_148,13.0391029728
id_149,15.6860173496
id_150,46.9721424106
id_151,19.3832300037
id_152,21.3984425739
id_153,14.0212113992
id_154,12.1292172732
id_155,23.9430592475
id_156,25.8642171963
id_157,36.5327828693
id_158,2.91578967758
id_159,23.0515104074
id_160,42.486335221
id_161,18.2827953876
id_162,60.9755471135
id_163,16.3695352039
id_164,32.9686065978
id_165,24.3016023757
id_166,22.9084058637
id_167,0.0
id_168,66.4012038844
id_169,15.4639492925
id_170,14.8155538145
id_171,68.2509840959
id_172,19.9800952966
id_173,1.39477350588
id_174,22.7258320449
id_175,0.0
id_176,7.36667462554
id_177,16.656194609
id_178,20.4833071208
id_179,24.0087743132
id_180,42.9717424533
id_181,32.2233651605
id_182,28.4699275113
id_183,13.1428826001
id_184,5.98413506514
id_185,41.3764046193
id_186,35.849159569
id_187,34.455923864
id_188,15.6679972589
id_189,23.7221275053
id_190,13.2716916812
id_191,15.5251594794
id_192,29.9792637412
id_193,72.8586829503
id_194,28.6357626729
id_195,11.5276698526
id_196,60.7631443102
id_197,15.6849380872
id_198,19.1739299642
id_199,19.6725638894
id_200,123.601878702
id_201,22.8604197727
id_202,57.8445004234
id_203,6.03415637326
id_204,59.2855304715
id_205,36.1199583374
id_206,14.2691269946
id_207,13.7908767156
id_208,60.6471559734
id_209,14.5318771573
id_210,36.2873585167
id_211,69.4955631773
id_212,18.3100253901
id_213,116.879166832
id_214,41.1996351881
id_215,77.2336024267
id_216,92.0872559744
id_217,71.8707587773
id_218,28.8607211117
id_219,19.1880400144
id_220,30.7797335066
id_221,58.4745398064
id_222,27.0690411998
id_223,37.9378591667
id_224,43.260012915
id_225,10.4658298047
id_226,4.42014984946
id_227,83.5344982123
id_228,30.6793088153
id_229,1.23880638889
id_230,40.6148825039
id_231,15.8155719773
id_232,21.2683060946
id_233,7.87924517566
id_234,14.5811242979
id_235,26.6485148654
id_236,13.5876854293
id_237,2.95743040083
id_238,21.604732143
id_239,12.0411029606
