id,value
id_0,24.738262203
id_1,66.1145528261
id_2,16.3803088209
id_3,30.4717794297
id_4,9.56557279317
id_5,31.4614777553
id_6,40.7828719344
id_7,17.2074007532
id_8,55.0607560179
id_9,31.5479392023
id_10,38.4954138174
id_11,58.8478386433
id_12,37.0411156317
id_13,42.641525386
id_14,26.1700802663
id_15,14.6266080231
id_16,51.8794450669
id_17,23.3629182376
id_18,17.6600520864
id_19,18.0666555377
id_20,17.3475900593
id_21,29.1542011192
id_22,39.7701468436
id_23,10.5748137458
id_24,63.5477725581
id_25,47.1289469329
id_26,28.3555710168
id_27,7.23853959211
id_28,27.604730393
id_29,36.9840566024
id_30,16.962911293
id_31,11.610866396
id_32,16.0447815611
id_33,8.79778363148
id_34,15.2468729713
id_35,42.6971828243
id_36,22.2924903294
id_37,27.701973103
id_38,10.0520745968
id_39,57.3427163944
id_40,46.0945927991
id_41,18.7326331661
id_42,51.5745614269
id_43,19.0327994047
id_44,44.7890939053
id_45,48.6390121512
id_46,59.4310154477
id_47,39.3434352949
id_48,55.8911455018
id_49,41.6050977504
id_50,27.8313144377
id_51,24.2890725515
id_52,39.317150772
id_53,22.4028278866
id_54,37.8724494151
id_55,38.8701762555
id_56,24.6084311651
id_57,21.3157723819
id_58,37.6943865991
id_59,32.3035728898
id_60,12.0515140752
id_61,20.5244769999
id_62,30.5216667268
id_63,53.0490052499
id_64,51.3282993745
id_65,22.2366715108
id_66,38.3661055532
id_67,52.9007118798
id_68,26.3469998136
id_69,41.4096681666
id_70,66.1660046519
id_71,55.3171618349
id_72,42.049795159
id_73,13.1355722401
id_74,13.5779573527
id_75,38.4113495819
id_76,61.6538267601
id_77,0.0297609717264
id_78,43.2276159064
id_79,41.5983457226
id_80,8.7613869489
id_81,23.875270057
id_82,5.64184979571
id_83,30.4652375677
id_84,7.38772214125
id_85,5.22018365718
id_86,16.9897374553
id_87,10.6102189186
id_88,19.235752016
id_89,26.794474176
id_90,33.6934853142
id_91,13.8933563756
id_92,12.8035436187
id_93,9.90886185954
id_94,38.194093382
id_95,15.2687560811
id_96,17.2568691677
id_97,10.5553738155
id_98,11.6132445021
id_99,5.70098942679
id_100,9.6747293955
id_101,17.3782581988
id_102,12.1546359648
id_103,8.05222481904
id_104,11.7252008195
id_105,36.1823161295
id_106,25.9573696785
id_107,7.5098152268
id_108,17.5653721238
id_109,15.1234757178
id_110,11.1061614553
id_111,16.5318272463
id_112,16.4898364877
id_113,26.3448952324
id_114,17.4647721849
id_115,16.9532959461
id_116,4.65206211018
id_117,45.3472303002
id_118,26.0349240878
id_119,0.429891837075
id_120,0.0
id_121,9.74510346665
id_122,12.217628526
id_123,11.7082556582
id_124,8.39388558331
id_125,24.5387772851
id_126,23.0786486378
id_127,9.40326466491
id_128,18.805593732
id_129,13.9522508853
id_130,0.0
id_131,32.0618303333
id_132,14.6803267581
id_133,19.5163556834
id_134,26.522761746
id_135,24.1749852464
id_136,9.24149587708
id_137,20.6163359261
id_138,77.4376143464
id_139,58.8128121662
id_140,25.6556937536
id_141,18.9168647417
id_142,24.1108379963
id_143,8.10910301321
id_144,12.7407270457
id_145,9.76151776297
id_146,18.1214904308
id_147,8.16391052677
id_148,12.6838237155
id_149,15.5417145784
id_150,49.2283339005
id_151,21.5499082222
id_152,23.0126175011
id_153,14.0003190924
id_154,13.8374167122
id_155,23.4770752212
id_156,26.1717078058
id_157,36.6321754826
id_158,3.76972559994
id_159,24.9743187525
id_160,42.9063884303
id_161,18.0851915135
id_162,63.0456833735
id_163,16.2285994202
id_164,34.5007446441
id_165,25.3591310332
id_166,24.005030259
id_167,0.659644083036
id_168,66.1231801094
id_169,16.0452943788
id_170,14.9302995207
id_171,66.8772963024
id_172,21.2479587858
id_173,1.10089871785
id_174,22.3627207218
id_175,0.203288878699
id_176,7.60055813426
id_177,16.3301506578
id_178,20.1791620783
id_179,25.7162289486
id_180,43.3558160238
id_181,33.142010902
id_182,28.6358903025
id_183,14.5001625762
id_184,6.0045972087
id_185,42.4500532633
id_186,37.7576341177
id_187,33.9499057583
id_188,16.9853216467
id_189,24.6151655592
id_190,14.2170659329
id_191,16.1549173768
id_192,31.4242596104
id_193,73.2239737312
id_194,29.4344542754
id_195,10.3092104905
id_196,63.4542624355
id_197,15.4183826315
id_198,18.5673082001
id_199,20.0666328444
id_200,126.244472253
id_201,23.7069255138
id_202,58.6405929678
id_203,5.64667373172
id_204,58.7084531001
id_205,37.0585792064
id_206,13.5255506665
id_207,12.7753194449
id_208,64.28755027
id_209,13.7687929149
id_210,36.9798137221
id_211,69.7063607924
id_212,17.3796651147
id_213,120.435467941
id_214,41.2738314264
id_215,77.3249579195
id_216,93.7406580358
id_217,73.4486396782
id_218,30.1520839749
id_219,17.3947174256
id_220,30.6312465111
id_221,61.010063594
id_222,27.8382037973
id_223,39.7832811073
id_224,44.2738191506
id_225,10.4447193881
id_226,2.94963712199
id_227,83.4284008608
id_228,30.6959923637
id_229,1.90865400527
id_230,40.7826252107
id_231,16.3001741227
id_232,25.2136381449
id_233,7.54856978251
id_234,15.3902922131
id_235,25.9109628058
id_236,15.2241236203
id_237,1.4743387465
id_238,21.966703406
id_239,13.2795502907
