id,value
id_0,25.9624213014
id_1,64.0196282075
id_2,20.8021588351
id_3,30.1807356274
id_4,9.72673093858
id_5,30.677267129
id_6,41.5943404805
id_7,17.1784145063
id_8,51.2343962259
id_9,32.2340955129
id_10,38.9963398708
id_11,56.972701528
id_12,36.9080766796
id_13,36.7660322382
id_14,29.604980452
id_15,12.8029668224
id_16,52.1615637856
id_17,23.1706962685
id_18,15.494982364
id_19,17.0049469615
id_20,15.862773804
id_21,30.1444211389
id_22,40.1389799848
id_23,12.6084250062
id_24,61.4382164436
id_25,45.6542579454
id_26,26.1601260097
id_27,9.21752645682
id_28,30.3929055122
id_29,35.458361775
id_30,17.2113572237
id_31,12.1569252386
id_32,17.0236479309
id_33,9.57348106681
id_34,17.7226722147
id_35,42.6742833927
id_36,22.8223658543
id_37,27.0136060239
id_38,10.8610211302
id_39,56.9982297851
id_40,43.4228115872
id_41,21.8225650768
id_42,52.4358012832
id_43,19.6295090081
id_44,42.5904994253
id_45,50.189737139
id_46,58.0635616625
id_47,41.6304657562
id_48,53.2354127371
id_49,38.3448569931
id_50,31.3326191698
id_51,22.7276139872
id_52,42.7387128671
id_53,25.4376349043
id_54,35.9146780781
id_55,38.612503866
id_56,25.1390993008
id_57,22.036156272
id_58,37.0696200052
id_59,33.8316801018
id_60,11.4425857343
id_61,25.7625237259
id_62,31.1394244754
id_63,50.0599895397
id_64,49.187312172
id_65,26.7979155845
id_66,38.1899962635
id_67,52.2239084902
id_68,30.0191027713
id_69,39.4574850341
id_70,63.0286395435
id_71,56.4751913324
id_72,41.779558684
id_73,14.7383567924
id_74,14.7962278495
id_75,36.2715487767
id_76,63.454407337
id_77,2.49852906629
id_78,41.588505704
id_79,41.2385724478
id_80,9.66026757611
id_81,21.6571954544
id_82,6.03257157408
id_83,31.9478823191
id_84,9.10350814389
id_85,6.28657827337
id_86,17.350855708
id_87,12.6147295232
id_88,17.9548772809
id_89,22.8939528564
id_90,34.718602511
id_91,12.8941156707
id_92,12.9281021805
id_93,11.9219996088
id_94,35.9434125592
id_95,15.7251593965
id_96,16.966065205
id_97,9.30533249976
id_98,11.5167734157
id_99,7.17005628826
id_100,10.3676869323
id_101,18.7846495361
id_102,11.8664085511
id_103,10.2859672997
id_104,13.3705690545
id_105,35.4415415671
id_106,23.3239635748
id_107,9.00940405546
id_108,18.4745296399
id_109,16.9546291547
id_110,10.6507964556
id_111,15.1033652323
id_112,16.8795433902
id_113,24.0600761501
id_114,20.6445998595
id_115,16.8872143051
id_116,10.2808788944
id_117,41.7544782477
id_118,25.4812518876
id_119,2.59529136431
id_120,1.26627731623
id_121,10.9889874087
id_122,12.4885125871
id_123,11.7892861039
id_124,8.20224360443
id_125,24.6503466501
id_126,23.5202239448
id_127,9.30060981475
id_128,17.9648766363
id_129,14.1858266735
id_130,1.931689843
id_131,31.4553463539
id_132,17.5963422152
id_133,25.373486635
id_134,26.9885162499
id_135,24.1168321888
id_136,10.3644500549
id_137,23.1290230165
id_138,75.994081554
id_139,63.0429939375
id_140,28.0287671527
id_141,18.3314721016
id_142,24.2227657717
id_143,8.10521287729
id_144,15.1610685253
id_145,10.3222238409
id_146,18.8842842782
id_147,9.12870502838
id_148,12.3721878703
id_149,15.9556475465
id_150,43.139138932
id_151,17.9126748295
id_152,21.9948505876
id_153,13.7222199023
id_154,15.134728645
id_155,24.3923546028
id_156,22.4184906137
id_157,36.4055080984
id_158,5.21132676167
id_159,21.1288359927
id_160,41.3868740633
id_161,18.9745311825
id_162,59.1143322541
id_163,16.2971112206
id_164,33.0072408704
id_165,25.3263312803
id_166,23.0106415909
id_167,2.0853745896
id_168,68.0931401223
id_169,16.8183980341
id_170,16.3017943103
id_171,69.016185968
id_172,20.5079074944
id_173,3.34107100731
id_174,25.0994538307
id_175,2.0002710466
id_176,9.18581316477
id_177,19.0401058393
id_178,22.141009713
id_179,22.7294845069
id_180,42.059352618
id_181,34.8348094494
id_182,31.986359134
id_183,14.8420481252
id_184,6.8072149644
id_185,41.6320337992
id_186,35.3445650172
id_187,33.0670900721
id_188,14.9552995963
id_189,24.2950690776
id_190,14.6282312228
id_191,14.9726284077
id_192,29.0429457652
id_193,74.1250297312
id_194,32.5799418145
id_195,11.8047387968
id_196,61.1199246229
id_197,17.4464720228
id_198,19.5734773348
id_199,21.294931097
id_200,120.001237696
id_201,23.6038167285
id_202,58.2490455737
id_203,5.94033179834
id_204,57.1205878308
id_205,33.1408748005
id_206,13.8120111937
id_207,17.3161089725
id_208,59.7382477877
id_209,16.2660194623
id_210,39.1208425107
id_211,67.8513215823
id_212,20.3931895453
id_213,113.183675542
id_214,40.3764534169
id_215,74.1053311225
id_216,88.8070343235
id_217,70.6149584737
id_218,32.7427471194
id_219,23.7647438707
id_220,30.8814713719
id_221,56.8611106389
id_222,26.5437369194
id_223,38.422106593
id_224,43.1027835815
id_225,9.395305388
id_226,6.69007119921
id_227,79.4621687832
id_228,28.9723334677
id_229,2.87253631259
id_230,40.0484462384
id_231,14.7360812667
id_232,22.2325604864
id_233,7.8465757751
id_234,15.9014148146
id_235,24.5294422471
id_236,14.9621063152
id_237,5.11365616943
id_238,24.0860486879
id_239,12.4821431431
