id,value
id_0,25.6670344377
id_1,64.7359165629
id_2,19.0058132884
id_3,29.4323438725
id_4,10.3641998788
id_5,34.2014790463
id_6,40.6897569138
id_7,17.9784503442
id_8,52.9919589663
id_9,32.8283506658
id_10,38.6417315966
id_11,58.3932502973
id_12,34.6000206444
id_13,41.2883793622
id_14,28.5361920736
id_15,13.1717082805
id_16,51.493325844
id_17,23.9774988952
id_18,17.4978849879
id_19,19.2544037871
id_20,16.1646560627
id_21,30.0540925832
id_22,38.7098629936
id_23,12.0393315503
id_24,60.7785225063
id_25,46.8616965508
id_26,27.4865761542
id_27,7.80776311657
id_28,28.6443337229
id_29,36.6634519986
id_30,18.3783538582
id_31,11.6289981082
id_32,17.2940918282
id_33,7.92431317297
id_34,16.6292835838
id_35,41.0141811112
id_36,21.5859728111
id_37,26.444101659
id_38,9.20638913496
id_39,57.8837556572
id_40,46.7603852831
id_41,18.4975366969
id_42,53.0976677802
id_43,18.3541823189
id_44,45.3070218231
id_45,49.3726934164
id_46,57.9398086455
id_47,41.3514536154
id_48,56.090283719
id_49,38.7921142469
id_50,30.9092406943
id_51,23.8321912727
id_52,38.5527587226
id_53,24.3327115189
id_54,35.9073158853
id_55,39.1418974056
id_56,24.7556832037
id_57,22.316533271
id_58,34.362584011
id_59,30.8181988103
id_60,13.3508894454
id_61,21.80044592
id_62,32.1172128654
id_63,55.0288897208
id_64,50.3063072178
id_65,26.3538502506
id_66,37.1358400878
id_67,52.8474155055
id_68,29.2704487489
id_69,38.6634632002
id_70,65.2285477797
id_71,56.3370179413
id_72,41.7094051161
id_73,12.7670973858
id_74,13.5456802519
id_75,36.8624045232
id_76,63.8299337273
id_77,2.79357619068
id_78,41.7571373295
id_79,41.5455901569
id_80,8.48785421199
id_81,22.1304156815
id_82,5.11653860842
id_83,29.0993178109
id_84,8.6264825606
id_85,4.89410810364
id_86,16.6291084509
id_87,10.8014175226
id_88,19.167800017
id_89,24.0667299797
id_90,34.7430876605
id_91,12.8361828911
id_92,12.0591766531
id_93,8.45069009753
id_94,37.5109317865
id_95,14.2153503435
id_96,15.9340400165
id_97,7.85776023944
id_98,11.1963251555
id_99,4.04217044047
id_100,9.23621219132
id_101,17.8990858029
id_102,10.8293433589
id_103,8.16833198629
id_104,13.1070600624
id_105,36.9464276199
id_106,25.2054805544
id_107,7.07930717416
id_108,16.4153358862
id_109,14.8310307878
id_110,12.2453097807
id_111,17.0118643467
id_112,15.9015597923
id_113,26.0338895497
id_114,19.3253290408
id_115,15.6304208369
id_116,6.14660933634
id_117,44.4212909507
id_118,25.6779655924
id_119,0.735393194341
id_120,-1.62561192728
id_121,8.54362407571
id_122,12.3373195864
id_123,12.1715156798
id_124,6.66744599232
id_125,25.4314734761
id_126,20.6030631995
id_127,10.7361383861
id_128,20.2753368751
id_129,13.0563090123
id_130,-0.226431057455
id_131,32.8293080202
id_132,14.5562880751
id_133,21.8188546707
id_134,26.9303423149
id_135,24.2235189062
id_136,9.71593330832
id_137,21.083324962
id_138,79.9336385209
id_139,61.6382255369
id_140,26.3025148001
id_141,19.6710059171
id_142,25.2769618053
id_143,7.65772466374
id_144,12.5835399362
id_145,10.604344771
id_146,18.5867135799
id_147,8.99912765229
id_148,10.9076528859
id_149,13.7734246954
id_150,46.4989507741
id_151,20.570869019
id_152,20.9275692186
id_153,15.18665986
id_154,13.2720633986
id_155,23.9231316216
id_156,25.6560632696
id_157,36.8836802886
id_158,4.28063437278
id_159,23.0998163524
id_160,42.4242937371
id_161,19.9574768785
id_162,63.7408671893
id_163,17.3977503306
id_164,34.67780591
id_165,23.9581381599
id_166,24.7302566808
id_167,-1.03096730342
id_168,66.4727914999
id_169,14.0208213566
id_170,16.5076030663
id_171,71.2776528811
id_172,20.2209650487
id_173,2.09075059267
id_174,22.1166208943
id_175,-1.13223310731
id_176,8.58748479172
id_177,17.9090625439
id_178,20.234230274
id_179,24.3389276295
id_180,43.8646135705
id_181,32.7909437334
id_182,27.749898864
id_183,11.9957482164
id_184,7.76801873216
id_185,42.2558901535
id_186,36.3804225209
id_187,34.792242691
id_188,16.1666665893
id_189,24.0649439932
id_190,14.431366025
id_191,15.956981505
id_192,31.1462543607
id_193,69.4051037049
id_194,29.2245191324
id_195,10.3844420645
id_196,62.5284788769
id_197,16.2640113829
id_198,18.6758345365
id_199,20.3409285306
id_200,124.989445337
id_201,24.5991176066
id_202,59.112792773
id_203,7.17297994154
id_204,59.2006453517
id_205,36.1730011794
id_206,15.7368493869
id_207,14.6591684425
id_208,61.7533209591
id_209,15.131758899
id_210,37.8936222102
id_211,68.7653450227
id_212,19.7583238514
id_213,114.842479273
id_214,41.0353008161
id_215,78.3931587631
id_216,93.7044615186
id_217,71.6548642472
id_218,30.4692956714
id_219,19.8160737197
id_220,31.6103605198
id_221,57.7335115576
id_222,28.7161640232
id_223,38.3897198804
id_224,44.9378493946
id_225,10.2103912769
id_226,4.85350576226
id_227,81.6592027474
id_228,30.525579293
id_229,2.3072302306
id_230,41.5401723609
id_231,15.4204507469
id_232,22.524526404
id_233,8.58906210673
id_234,14.4694492427
id_235,24.8509190645
id_236,14.0115036477
id_237,2.71115455951
id_238,22.3411550043
id_239,11.5803137834
