id,value
id_0,25.4907535421
id_1,66.4155043979
id_2,16.4976035194
id_3,30.1343432339
id_4,9.90475921636
id_5,33.3350660779
id_6,41.8136971372
id_7,17.7552243464
id_8,52.0040450287
id_9,32.6432822726
id_10,39.8205080328
id_11,57.9090770446
id_12,36.2610707147
id_13,41.9780634554
id_14,26.613779183
id_15,13.5148934607
id_16,51.5355492255
id_17,23.7561598132
id_18,17.7516341229
id_19,17.7115168611
id_20,15.3281394643
id_21,30.1367070169
id_22,39.7114823844
id_23,12.5280477406
id_24,62.6729888772
id_25,46.436783981
id_26,29.132542532
id_27,6.74087721474
id_28,28.1729772237
id_29,37.225887749
id_30,18.1979862046
id_31,11.6295906017
id_32,16.0046217331
id_33,9.35619009751
id_34,15.4298864282
id_35,41.7159413884
id_36,22.0630900213
id_37,26.9602719546
id_38,8.04450131808
id_39,57.5747208345
id_40,47.7046291155
id_41,18.8672876894
id_42,50.6846566479
id_43,18.8850072451
id_44,44.7809288843
id_45,49.8852766891
id_46,58.0280062233
id_47,40.5471815894
id_48,55.290369534
id_49,39.1041900959
id_50,29.8941247486
id_51,23.5077363569
id_52,40.4872709128
id_53,22.7744206557
id_54,37.6694859439
id_55,36.7148210653
id_56,25.2307200256
id_57,22.3783739915
id_58,36.2985379637
id_59,31.2138225249
id_60,14.6877701747
id_61,20.2174015956
id_62,31.6724073789
id_63,52.2881804916
id_64,52.5713589893
id_65,25.3697032847
id_66,38.0843165129
id_67,53.6685982646
id_68,27.2130205392
id_69,41.7348444539
id_70,64.0048728932
id_71,55.117933465
id_72,42.7967198494
id_73,14.2966260668
id_74,14.8143809036
id_75,36.3993035932
id_76,61.9590198676
id_77,1.56086200391
id_78,42.169187587
id_79,41.4360155704
id_80,8.77669138235
id_81,23.6586969742
id_82,5.95262045758
id_83,30.7061456537
id_84,9.3829628031
id_85,4.97713910172
id_86,17.5605647523
id_87,12.1937793526
id_88,19.1260462059
id_89,26.2227035709
id_90,33.3430980563
id_91,13.8477423127
id_92,12.7778939054
id_93,9.87729682163
id_94,38.1610050766
id_95,15.144786914
id_96,17.5146381195
id_97,9.80823475641
id_98,11.6530751614
id_99,6.5205176681
id_100,9.9063011917
id_101,16.7410035617
id_102,12.5543785253
id_103,7.51234005574
id_104,12.3740061075
id_105,36.1080259414
id_106,26.4092309755
id_107,7.80643478966
id_108,17.079532019
id_109,15.0374837663
id_110,12.120474073
id_111,16.7543812859
id_112,16.4815461708
id_113,26.5926773538
id_114,18.7542390409
id_115,16.3677253009
id_116,6.18344533539
id_117,44.6310441148
id_118,27.4500531732
id_119,1.43173465597
id_120,0.0
id_121,9.82425601237
id_122,12.446921662
id_123,13.3098447739
id_124,8.49176546333
id_125,24.9387915834
id_126,21.4065455296
id_127,9.70018743461
id_128,19.6916240298
id_129,14.2925949201
id_130,0.0
id_131,32.938362631
id_132,14.3451160311
id_133,20.3245500796
id_134,25.6494789112
id_135,23.853395065
id_136,10.840916902
id_137,21.1253785643
id_138,74.1828890791
id_139,59.4484611695
id_140,25.035622393
id_141,18.882304725
id_142,24.5726575383
id_143,6.9828597262
id_144,12.10847343
id_145,10.7310248078
id_146,19.3760152607
id_147,8.0079878156
id_148,12.6513572223
id_149,15.5837185144
id_150,46.641484272
id_151,21.2962330919
id_152,22.2798137446
id_153,15.0265778799
id_154,12.3636390188
id_155,24.1838695617
id_156,25.4794835862
id_157,36.7287224541
id_158,3.70737714071
id_159,23.5053263263
id_160,41.1906452935
id_161,18.9137609737
id_162,61.1588756204
id_163,16.9061766902
id_164,33.6709990765
id_165,24.786075682
id_166,23.2261191351
id_167,1.23365402084
id_168,64.4999723098
id_169,15.7232194057
id_170,15.520359767
id_171,66.9946251491
id_172,20.5321294283
id_173,1.74915923103
id_174,24.2114987645
id_175,0.701099379739
id_176,8.03754436883
id_177,19.0585082527
id_178,20.8501457331
id_179,25.8818677209
id_180,43.733601703
id_181,30.7309851706
id_182,29.1686130213
id_183,14.4810948822
id_184,6.27308394089
id_185,42.0615137062
id_186,36.4970500164
id_187,33.6391150693
id_188,17.3540618228
id_189,23.3393131381
id_190,14.0295440402
id_191,16.6097010194
id_192,30.4922537992
id_193,71.4443092722
id_194,28.0931722735
id_195,10.9346268902
id_196,61.444820433
id_197,15.5441426159
id_198,20.2019065975
id_199,20.7267787304
id_200,126.008428437
id_201,23.2841431056
id_202,57.4861510214
id_203,7.06575387665
id_204,61.7783968786
id_205,36.213174747
id_206,14.7612104851
id_207,14.2050334307
id_208,63.0863925021
id_209,14.8160453103
id_210,36.3026891289
id_211,70.9518672206
id_212,18.1266906565
id_213,121.156406313
id_214,40.9045233264
id_215,80.8797287064
id_216,91.5974023996
id_217,74.3533803786
id_218,29.2657664048
id_219,18.3678820457
id_220,30.8591501574
id_221,60.4870589993
id_222,28.5002883876
id_223,38.1908879127
id_224,43.728535303
id_225,11.4777559702
id_226,3.60911265784
id_227,83.2594893782
id_228,31.1265436856
id_229,1.21604735549
id_230,41.3440556953
id_231,16.7933553553
id_232,22.3917753411
id_233,8.12419832576
id_234,15.1185096011
id_235,26.7950898077
id_236,14.1034317707
id_237,2.78552910852
id_238,22.0234745481
id_239,11.9129802918
