id,value
id_0,25.0
id_1,66.0
id_2,16.0
id_3,30.0
id_4,10.0
id_5,33.0
id_6,42.0
id_7,18.0
id_8,52.0
id_9,33.0
id_10,40.0
id_11,58.0
id_12,36.0
id_13,42.0
id_14,27.0
id_15,14.0
id_16,52.0
id_17,24.0
id_18,18.0
id_19,18.0
id_20,15.0
id_21,30.0
id_22,40.0
id_23,13.0
id_24,63.0
id_25,46.0
id_26,29.0
id_27,7.0
id_28,28.0
id_29,37.0
id_30,18.0
id_31,12.0
id_32,16.0
id_33,9.0
id_34,15.0
id_35,42.0
id_36,22.0
id_37,27.0
id_38,8.0
id_39,58.0
id_40,48.0
id_41,19.0
id_42,51.0
id_43,19.0
id_44,45.0
id_45,50.0
id_46,58.0
id_47,41.0
id_48,55.0
id_49,39.0
id_50,30.0
id_51,24.0
id_52,40.0
id_53,23.0
id_54,38.0
id_55,37.0
id_56,25.0
id_57,22.0
id_58,36.0
id_59,31.0
id_60,15.0
id_61,20.0
id_62,32.0
id_63,52.0
id_64,53.0
id_65,25.0
id_66,38.0
id_67,54.0
id_68,27.0
id_69,42.0
id_70,64.0
id_71,55.0
id_72,43.0
id_73,14.0
id_74,15.0
id_75,36.0
id_76,62.0
id_77,2.0
id_78,42.0
id_79,41.0
id_80,9.0
id_81,24.0
id_82,6.0
id_83,31.0
id_84,9.0
id_85,5.0
id_86,18.0
id_87,12.0
id_88,19.0
id_89,26.0
id_90,33.0
id_91,14.0
id_92,13.0
id_93,10.0
id_94,38.0
id_95,15.0
id_96,18.0
id_97,10.0
id_98,12.0
id_99,7.0
id_100,10.0
id_101,17.0
id_102,13.0
id_103,8.0
id_104,12.0
id_105,36.0
id_106,26.0
id_107,8.0
id_108,17.0
id_109,15.0
id_110,12.0
id_111,17.0
id_112,16.0
id_113,27.0
id_114,19.0
id_115,16.0
id_116,6.0
id_117,45.0
id_118,27.0
id_119,1.0
id_120,0.0
id_121,10.0
id_122,12.0
id_123,13.0
id_124,8.0
id_125,25.0
id_126,21.0
id_127,10.0
id_128,20.0
id_129,14.0
id_130,0.0
id_131,33.0
id_132,14.0
id_133,20.0
id_134,26.0
id_135,24.0
id_136,11.0
id_137,21.0
id_138,74.0
id_139,59.0
id_140,25.0
id_141,19.0
id_142,25.0
id_143,7.0
id_144,12.0
id_145,11.0
id_146,19.0
id_147,8.0
id_148,13.0
id_149,16.0
id_150,47.0
id_151,21.0
id_152,22.0
id_153,15.0
id_154,12.0
id_155,24.0
id_156,25.0
id_157,37.0
id_158,4.0
id_159,24.0
id_160,41.0
id_161,19.0
id_162,61.0
id_163,17.0
id_164,34.0
id_165,25.0
id_166,23.0
id_167,1.0
id_168,64.0
id_169,16.0
id_170,16.0
id_171,67.0
id_172,21.0
id_173,2.0
id_174,24.0
id_175,1.0
id_176,8.0
id_177,19.0
id_178,21.0
id_179,26.0
id_180,44.0
id_181,31.0
id_182,29.0
id_183,14.0
id_184,6.0
id_185,42.0
id_186,36.0
id_187,34.0
id_188,17.0
id_189,23.0
id_190,14.0
id_191,17.0
id_192,30.0
id_193,71.0
id_194,28.0
id_195,11.0
id_196,61.0
id_197,16.0
id_198,20.0
id_199,21.0
id_200,126.0
id_201,23.0
id_202,57.0
id_203,7.0
id_204,62.0
id_205,36.0
id_206,15.0
id_207,14.0
id_208,63.0
id_209,15.0
id_210,36.0
id_211,71.0
id_212,18.0
id_213,121.0
id_214,41.0
id_215,81.0
id_216,92.0
id_217,74.0
id_218,29.0
id_219,18.0
id_220,31.0
id_221,60.0
id_222,29.0
id_223,38.0
id_224,44.0
id_225,11.0
id_226,4.0
id_227,83.0
id_228,31.0
id_229,1.0
id_230,41.0
id_231,17.0
id_232,22.0
id_233,8.0
id_234,15.0
id_235,27.0
id_236,14.0
id_237,3.0
id_238,22.0
id_239,12.0
